VIL Call Data Records

DESTIP:-2a03:1b20:000a:f011:0000:0000:0000:e606
Report Type:-DOT Report
From Date:-2026-06-01
From Time:-14:00:00
Till Date:-2026-06-01
Till Time:-16:00:00
AuditId:-132322719_164200578_DOT
Report Date:-2026-06-08 15:18:58

SR.NO.,IMSI,IMEI,MSISDN,MAC ID,Source IP,Source Port,Destination IP,Destination Port,Translated IP,Translated Port,First Cell ID-Name/Location,Session Start date & time,Session End date & time,Duration in sec,Data Volume Uplink,Data Volume Downlink,PGW IP address,Charging ID,Access Point Name,PDP Address IPv4,PDP Address IPv6,CGI-ld,RAT,PDP-type,ESIM,IP_TYPE
491,404466200696025,8614990767287433,7034316374,"",2402:3a80:4492:35fc:0:21:c914:6a01,45381,2a03:1b20:a:f011::e401,8388,"","",404195616147124053,01/06/2026 14:07:17,01/06/2026 14:07:17,0,0,152,112.79.96.224,210897584,www,"",2402:3a80:4492:35fc:0:21:c914:6a01,404195616147124053,4G,IPV6,N,DYNAMIC
4536,404112258397577,3513005312589601,9999732566,"",2402:8100:31d9:da4d:0:23:4c32:ba01,6881,2a03:1b20:a:f011::e312,39765,"","",404115258245017412,01/06/2026 15:22:49,01/06/2026 15:22:49,0,0,163,112.110.64.137,221774260,www,"",2402:8100:31d9:da4d:0:23:4c32:ba01,404115258245017412,4G,IPV6,N,DYNAMIC
1243,404205053456029,8620270626211559,8879264957,"",2402:3a80:42b1:6dd6:0:6:90e3:8701,6881,2a03:1b20:a:f011::e401,8388,"","",404205221141567632,01/06/2026 14:22:05,01/06/2026 14:22:05,0,0,163,203.88.30.129,42449996,www,"",2402:3a80:42b1:6dd6:0:6:90e3:8701,404205221141567632,4G,IPV6,N,DYNAMIC
1241,404113730253110,3550261152830501,7888534050,"",2402:3a80:43bb:1b77:0:48:7e90:5d01,50064,2a03:1b20:a:f011::e401,8388,"","",404115268142347052,01/06/2026 14:21:59,01/06/2026 14:21:59,0,138,209,203.88.29.129,553312191,www,"",2402:3a80:43bb:1b77:0:48:7e90:5d01,404115268142347052,4G,IPV6,N,DYNAMIC
6243,405704521219631,3509618731937801,7079407175,"",2402:3a80:0f61:c763:1182:bd64:1d23:3cb8,6881,2a03:1b20:a:f011::::e02a,51413,"","",405701545141432021,01/06/2026 15:53:52,01/06/2026 16:12:48,1800,25723097,51431590,203.88.31.53,269087173,internet,10.176.34.111,2402:3a80:0f61:c763:0178:5634:1232:5476,405701545141432021,4G,IPv4v6,N,DYNAMIC
571,404242409886958,8604310408907134,9737821105,"",2402:8100:29a8:7873:0:2f:c19b:5801,53469,2a03:1b20:a:f011::e401,8388,"","",404055985880713731,01/06/2026 14:09:24,01/06/2026 14:09:24,0,0,163,112.110.68.33,300037000,internet,"",2402:8100:29a8:7873:0:2f:c19b:5801,404055985880713731,4G,IPV6,N,DYNAMIC
5622,404051813930306,8604890666852369,9737680099,"",2402:3a80:4430:bc94:0:33:4d6:8c01,52630,2a03:1b20:a:f011::e02e,61371,"","",40405200694586543,01/06/2026 15:42:15,01/06/2026 15:42:16,1,499,163,203.88.19.32,320436498,www,"",2402:3a80:4430:bc94:0:33:4d6:8c01,40405200694586543,4G,IPV6,N,DYNAMIC
4559,404051843436481,8621660650018932,9054885407,"",2402:3a80:15a3:2030:0:15:98b3:c701,37708,2a03:1b20:a:f011::e32a,54914,"","",40405513184403643,01/06/2026 15:23:24,01/06/2026 15:23:24,0,152,0,112.110.84.40,134695472,www,"",2402:3a80:15a3:2030:0:15:98b3:c701,40405513184403643,4G,IPV6,N,DYNAMIC
4037,404466098311587,3528503716080201,8943680801,"",2402:3a80:1cb3:cf9a:0:38:a140:ce01,53869,2a03:1b20:a:f011::e005,57044,"","",404195498880187453,01/06/2026 15:14:39,01/06/2026 15:14:40,1,468,163,203.88.29.2,354934527,www,"",2402:3a80:1cb3:cf9a:0:38:a140:ce01,404195498880187453,4G,IPV6,N,DYNAMIC
4832,405752728020475,8607010504091601,7520546791,"",2402:8100:2642:76ef:0278:5634:1232:5476,43794,2a03:1b20:a:f011::::e005,51413,"","",4057015144468122,01/06/2026 15:28:14,01/06/2026 15:40:45,1800,46883048,808333296,112.110.108.163,539850517,www,10.64.141.207,2402:8100:2642:76ef:0278:5634:1232:5476,4057015144468122,4G,IPv4v6,N,DYNAMIC
6444,404205912209938,8680740781027200,9819000245,"",2402:3a80:429a:546:0:40:cccc:c501,39459,2a03:1b20:a:f011::e208,51414,"","",404205222853449931,01/06/2026 15:57:30,01/06/2026 15:57:30,0,501,145,203.88.30.128,406260084,www,"",2402:3a80:429a:546:0:40:cccc:c501,404205222853449931,4G,IPV6,N,DYNAMIC
356,404438055043845,3529508624516701,9843057047,"",2402:3a80:1325:bd3d:0:2c:775c:bd01,37498,2a03:1b20:a:f011::e02a,51413,"","",404435459141334332,01/06/2026 14:04:46,01/06/2026 14:04:47,1,139,210,203.88.18.64,278022846,www,"",2402:3a80:1325:bd3d:0:2c:775c:bd01,404435459141334332,4G,IPV6,N,DYNAMIC
6244,405672414316881,8632870417060800,8250536221,"",2402:3a80:4340:d254:5447:81c3:4b5c:fc04,44639,2a03:1b20:a:f011::::e02a,51413,"","",405675707844162873,01/06/2026 15:53:52,01/06/2026 16:14:12,1800,150856393,2753354838,203.88.18.189,268553349,www,10.24.123.13,2402:3a80:4340:d254:0178:5634:1232:5476,405675707844162873,4G,IPv4v6,N,DYNAMIC
583,404438084485270,8691330417227619,8111004778,"",2402:3a80:1326:4f20:0:32:6a89:da01,42047,2a03:1b20:a:f011::e11b,52041,"","",404845400340461531,01/06/2026 14:09:41,01/06/2026 14:09:41,0,0,152,203.88.18.64,315212173,www,"",2402:3a80:1326:4f20:0:32:6a89:da01,404845400340461531,4G,IPV6,N,DYNAMIC
5403,405852800205428,8606000753096312,9094352305,"",2402:3a80:1bb8:2d2a:0:5d:d564:1,52408,2a03:1b20:a:f011::e00d,51413,"","",404845480740187721,01/06/2026 15:38:20,01/06/2026 15:38:20,0,152,0,203.88.2.211,1272311363,internet,"",2402:3a80:1bb8:2d2a:0:5d:d564:1,404845480740187721,4G,IPV6,N,DYNAMIC
4756,404438025403277,8642530884999007,9751529538,"",2402:3a80:132f:fcf3:0:2b:4638:ed01,39218,2a03:1b20:a:f011::e324,49656,"","",404435461685953131,01/06/2026 15:26:55,01/06/2026 15:26:55,0,0,608,203.88.18.64,270548981,www,"",2402:3a80:132f:fcf3:0:2b:4638:ed01,404435461685953131,4G,IPV6,N,DYNAMIC
1032,404438081272596,3564123840236201,8489486607,"",2402:3a80:42:37c8:0:14:5c12:8701,40744,2a03:1b20:a:f011::e015,8107,"","",40443545228516210,01/06/2026 14:17:56,01/06/2026 14:17:56,0,138,209,203.88.28.129,127142219,www,"",2402:3a80:42:37c8:0:14:5c12:8701,40443545228516210,4G,IPV6,N,DYNAMIC
6046,404225032680070,8636530683425544,9623547305,"",2402:8100:22c9:45e0:c884:4f95:b849:bc5f,6881,2a03:1b20:a:f011::e005,51413,"","",40422558014787811,01/06/2026 15:49:59,01/06/2026 15:50:30,422,15947496,36481560,112.110.84.139,2645870271,internet,"",2402:8100:22c9:45e0:0890:6eaf:9807:b041,40422558014787811,4G,IPv6,N,DYNAMIC
3220,405848308829479,3553721135795101,9804916167,"",2402:3a80:1975:65be:0678:5634:1232:5476,43238,2a03:1b20:a:f011::::e303,51413,"","",404305306940539823,01/06/2026 14:59:13,01/06/2026 15:16:45,1800,4610594,53380138,203.88.13.245,1611659605,internet,10.35.220.100,2402:3a80:1975:65be:0678:5634:1232:5476,404305306940539823,4G,IPv4v6,N,DYNAMIC
1233,405751646570486,8644530685510742,9706526078,"",2402:3a80:1c72:7133:7292:e24f:f088:175e,33551,2a03:1b20:a:f011::::e401,8388,"","",4057515385040564822,01/06/2026 14:21:51,01/06/2026 14:27:58,1131,5927161,19743272,203.88.20.198,1343260581,www,10.108.105.15,2402:3a80:1c72:7133:0578:5634:1232:5476,4057515385040564822,4G,IPv4v6,N,DYNAMIC
1362,404438080366635,3539924385247508,9791242278,"",2402:3a80:4599:63bf:0:17:f919:1701,37903,2a03:1b20:a:f011::e209,55036,"","",404435462840105421,01/06/2026 14:24:51,01/06/2026 14:24:51,0,470,145,112.79.98.32,149944032,www,"",2402:3a80:4599:63bf:0:17:f919:1701,404435462840105421,4G,IPV6,N,DYNAMIC
2323,404242411398010,8691200726382959,9904570145,"",2402:3a80:16a8:eb4d:0:42:4801:7c01,40043,2a03:1b20:a:f011::e302,6635,"","",40405513334634442,01/06/2026 14:42:44,01/06/2026 14:42:44,0,290,677,112.110.84.5,415355244,internet,"",2402:3a80:16a8:eb4d:0:42:4801:7c01,40405513334634442,4G,IPV6,N,DYNAMIC
1633,405751647697918,8602040619501145,9706964551,"",2402:3a80:1c55:5d8b:ec15:83ff:feb5:396d,6881,2a03:1b20:a:f011::::e432,6881,"","",405751538508022071,01/06/2026 14:30:30,01/06/2026 14:36:04,1800,0,123449,203.88.20.197,805417621,www,10.98.99.107,2402:3a80:1c55:5d8b:0378:5634:1232:5476,405751538508022071,4G,IPv4v6,N,DYNAMIC
1566,404051849939122,8679360421984523,9537334587,"",2402:3a80:e69:a364:0:46:a30d:c101,45364,2a03:1b20:a:f011::e302,6635,"","",40405250718039911,01/06/2026 14:29:15,01/06/2026 14:29:34,19,467,152,203.88.4.152,494640934,www,"",2402:3a80:e69:a364:0:46:a30d:c101,40405250718039911,4G,IPV6,N,DYNAMIC
4179,404195822974476,8691700514220323,9744810837,"",2402:3a80:44aa:683b:0:1f:667c:cc01,42274,2a03:1b20:a:f011::e316,51413,"","",404195495046116823,01/06/2026 15:16:40,01/06/2026 15:16:41,1,0,145,112.79.96.224,195969577,internet,"",2402:3a80:44aa:683b:0:1f:667c:cc01,404195495046116823,4G,IPV6,N,DYNAMIC
4124,404438040929741,8695560740779589,7299761569,"",2402:3a80:4271:d26:0:5e:a290:b601,3249,2a03:1b20:a:f011::e113,51413,"","",404845411947303933,01/06/2026 15:15:48,01/06/2026 15:19:21,213,1368,0,203.88.1.92,1299524500,www,"",2402:3a80:4271:d26:0:5e:a290:b601,404845411947303933,4G,IPV6,N,DYNAMIC
4632,404051155332090,3517663109493501,9979348884,"",2402:3a80:16a4:5a22:0:d:d585:bf01,57173,2a03:1b20:a:f011::e226,2978,"","",404052502180170420,01/06/2026 15:24:48,01/06/2026 15:24:48,0,152,0,112.110.84.5,87322084,www,"",2402:3a80:16a4:5a22:0:d:d585:bf01,404052502180170420,4G,IPV6,N,DYNAMIC
3948,404051752259446,8674780739520345,9925250059,"",2402:3a80:4418:130d:0:6:495:5d01,41099,2a03:1b20:a:f011::e324,49656,"","",404052006441281222,01/06/2026 15:12:51,01/06/2026 15:12:51,0,478,163,203.88.19.32,38938577,www,"",2402:3a80:4418:130d:0:6:495:5d01,404052006441281222,4G,IPV6,N,DYNAMIC
5983,404205011097369,3573176401260501,9867599721,"",2402:3a80:164c:32df:0:3b:1e08:2501,39605,2a03:1b20:a:f011::e209,21738,"","",404205230743324733,01/06/2026 15:48:45,01/06/2026 15:48:48,3,240,0,112.110.84.80,370316962,www,"",2402:3a80:164c:32df:0:3b:1e08:2501,404205230743324733,4G,IPV6,N,DYNAMIC
1000,404277272729710,3539273435831801,9158487468,"",2402:3a80:c9f:8fc1:e856:ce08:604a:e69e,46527,2a03:1b20:a:f011::e001,51413,"","",404226500640066258,01/06/2026 14:17:38,01/06/2026 14:21:33,345,3773092,48655999,203.88.4.185,3427903739,WWW,10.240.188.51,2402:3a80:0c9f:8fc1:d772:20b4:0e47:d8d9,404226500640066258,4G,IPv4v6,N,DYNAMIC
1368,405672377576756,8691980514511178,7384850988,"",2402:3a80:4700:c71b:904e:b4ee:c86b:08a9,6881,2a03:1b20:a:f011::::e401,8388,"","",405675703540427323,01/06/2026 14:24:59,01/06/2026 14:25:11,1082,23185545,294813098,203.88.3.135,271027157,www,10.144.36.181,2402:3a80:4700:c71b:0178:5634:1232:5476,405675703540427323,4G,IPv4v6,N,DYNAMIC
436,404045395064893,8682730660117519,8750908319,"",2402:8100:26c2:6205:0:4a:66a9:901,44518,2a03:1b20:a:f011::e312,39765,"","",404115274088379631,01/06/2026 14:06:07,01/06/2026 14:06:07,0,499,152,112.110.64.136,612987821,internet,"",2402:8100:26c2:6205:0:4a:66a9:901,404115274088379631,4G,IPV6,N,DYNAMIC
5560,404466107377323,3522844110129901,8086658299,"",2402:3a80:1cb4:76b0:0:35:a75b:4a01,45830,2a03:1b20:a:f011::e302,6635,"","",404195825046124832,01/06/2026 15:41:15,01/06/2026 15:41:15,0,0,163,203.88.29.2,336359988,www,"",2402:3a80:1cb4:76b0:0:35:a75b:4a01,404195825046124832,4G,IPV6,N,DYNAMIC
3049,404051839027974,3594511028450601,8460504018,"",2402:3a80:4501:91a6:0:27:f7ea:8901,6881,2a03:1b20:a:f011::e401,8388,"","",40405596398041442,01/06/2026 14:56:00,01/06/2026 14:56:00,0,152,0,112.79.97.96,250543683,www,"",2402:3a80:4501:91a6:0:27:f7ea:8901,40405596398041442,4G,IPV6,N,DYNAMIC
336,404070761101966,8671130787260926,9948191705,"",2402:8100:22b9:defd:e079:9aff:fe75:13f4,37288,2a03:1b20:a:f011::::e024,6881,"","",404072427937253,01/06/2026 14:04:30,01/06/2026 14:08:32,693,69508299,36919087,112.110.100.109,2254545422,internet,10.89.189.225,2402:8100:22b9:defd:0000:0000:0853:2bc4,404072427937253,4G,IPv4v6,N,DYNAMIC
2564,404132057736202,8648830546764476,8142102197,"",2402:8100:220d:97bb:2cf1:f3c3:82f2:142b,6881,2a03:1b20:a:f011::::e418,9203,"","",4040724281433112,01/06/2026 14:47:07,01/06/2026 14:59:14,1800,6085949,8690541,112.110.100.109,1965663856,www,10.29.111.38,2402:8100:220d:97bb:0000:0000:0874:d301,4040724281433112,4G,IPv4v6,N,DYNAMIC
5586,404242309054578,8659320823753609,9737136768,"",2402:3a80:15a8:509e:0:1a:11a8:b801,38301,2a03:1b20:a:f011::e204,35378,"","",404052001841282033,01/06/2026 15:41:42,01/06/2026 15:41:42,0,139,192,112.110.84.40,162718240,internet,"",2402:3a80:15a8:509e:0:1a:11a8:b801,404052001841282033,4G,IPV6,N,DYNAMIC
6225,404300291660134,3575441011789101,7980852654,"",2402:3a80:42e0:e43f:0178:5634:1232:5476,43184,2a03:1b20:a:f011::::e01c,6881,"","",404305301740609422,01/06/2026 15:53:22,01/06/2026 15:55:31,1800,1429742,880058,203.88.11.17,269214741,www,10.116.47.44,2402:3a80:42e0:e43f:0178:5634:1232:5476,404305301740609422,4G,IPv4v6,N,DYNAMIC
383,405752713609883,8696670576771523,7677219816,"",2402:3a80:0f41:b885:0428:daa2:5425:614a,6881,2a03:1b20:a:f011::::e00d,51413,"","",4057012004450853,01/06/2026 14:05:09,01/06/2026 14:07:48,630,327318,1050486,203.88.31.52,268945109,www,10.160.235.213,2402:3a80:0f41:b885:0178:5634:1232:5476,4057012004450853,4G,IPv4v6,N,DYNAMIC
2645,404051932531806,8677780650475232,8128100500,"",2402:8100:26b1:b1c2:0:46:9775:5701,55497,2a03:1b20:a:f011::e00d,51413,"","",404052000641213221,01/06/2026 14:48:28,01/06/2026 14:48:28,0,152,0,112.110.108.192,493257400,www,"",2402:8100:26b1:b1c2:0:46:9775:5701,404052000641213221,4G,IPV6,N,DYNAMIC
4498,405852704706173,8650100471449537,7448575059,"",2402:3a80:22:1e6d:0:17:ee1:c901,6881,2a03:1b20:a:f011::e302,6635,"","",404435451043470422,01/06/2026 15:22:10,01/06/2026 15:22:10,0,467,163,203.88.28.128,145149523,internet,"",2402:3a80:22:1e6d:0:17:ee1:c901,404435451043470422,4G,IPV6,N,DYNAMIC
6125,405704521219631,3509618731937801,7079407175,"",2402:3a80:0f61:c763:1182:bd64:1d23:3cb8,6881,2a03:1b20:a:f011::::e02a,51413,"","",405701545141432021,01/06/2026 15:51:19,01/06/2026 16:12:48,1800,25723097,51431590,203.88.31.53,269087173,internet,10.176.34.111,2402:3a80:0f61:c763:0178:5634:1232:5476,405701545141432021,4G,IPv4v6,N,DYNAMIC
5665,404132057164216,8675300792085211,9885976004,"",2402:8100:249e:dbe2:0000:0000:04e4:b089,6890,2a03:1b20:a:f011::::e002,6881,"","",404072410341236312,01/06/2026 15:42:54,01/06/2026 16:03:28,1800,208629,1234486,112.110.100.31,2596583333,www,10.130.190.90,2402:8100:249e:dbe2:0000:0000:04e4:b089,404072410341236312,4G,IPv4v6,N,DYNAMIC
1043,404051815960749,8649250610383678,9687872355,"",2402:3a80:4621:39ce:0:4a:1e90:e301,37777,2a03:1b20:a:f011::e024,6881,"","",40405250508928221,01/06/2026 14:18:07,01/06/2026 14:18:07,0,138,209,203.88.12.64,602721072,www,"",2402:3a80:4621:39ce:0:4a:1e90:e301,40405250508928221,4G,IPV6,N,DYNAMIC
3937,404195821392455,8657370783245175,7025232492,"",2402:3a80:422a:4329:0:45:772:701,53905,2a03:1b20:a:f011::e226,2978,"","",40407240513846052,01/06/2026 15:12:40,01/06/2026 15:12:40,0,0,163,203.88.29.2,444419562,internet,"",2402:3a80:422a:4329:0:45:772:701,40407240513846052,4G,IPV6,N,DYNAMIC
4811,404051844532776,8691410526690500,8000109045,"",2402:3a80:876:ed87:0:5d:74cc:9401,48858,2a03:1b20:a:f011::e62c,17106,"","",40405200304959672,01/06/2026 15:27:50,01/06/2026 15:27:50,0,139,210,203.88.1.49,1259127256,www,"",2402:3a80:876:ed87:0:5d:74cc:9401,40405200304959672,4G,IPV6,N,DYNAMIC
4448,404205011097369,3573176401260501,9867599721,"",2402:3a80:164c:32df:0:3b:1e08:2501,48717,2a03:1b20:a:f011::e209,1,"","",404205230743324733,01/06/2026 15:21:06,01/06/2026 15:21:13,7,320,0,112.110.84.80,370316962,www,"",2402:3a80:164c:32df:0:3b:1e08:2501,404205230743324733,4G,IPV6,N,DYNAMIC
3042,404051753958914,8618940423245753,9727047734,"",2402:3a80:16f3:19b7:0:47:b8fb:7101,42388,2a03:1b20:a:f011::e401,8388,"","",40405200064285151,01/06/2026 14:55:51,01/06/2026 14:55:51,0,0,163,112.110.84.15,528947225,www,"",2402:3a80:16f3:19b7:0:47:b8fb:7101,40405200064285151,4G,IPV6,N,DYNAMIC
3578,405755644037148,3502502906648201,8259862006,"",2402:3a80:1c50:eaa0:0278:5634:1232:5476,45334,2a03:1b20:a:f011::::e226,2978,"","",405755539538050793,01/06/2026 15:05:22,01/06/2026 15:13:35,754,5453992,44998521,203.88.20.197,538645621,www,10.97.152.114,2402:3a80:1c50:eaa0:0278:5634:1232:5476,405755539538050793,4G,IPv4v6,N,DYNAMIC
5227,405704525792761,8670960597973870,8651692795,"",2402:8100:2656:47e5:0000:0000:0000:00bf,49669,2a03:1b20:a:f011::::e324,49656,"","",4057014067416631,01/06/2026 15:35:07,01/06/2026 15:49:37,1800,32104346,525346796,112.110.108.163,1077223269,internet,10.139.6.124,2402:8100:2656:47e5:0478:5634:1232:5476,4057014067416631,4G,IPv4v6,N,DYNAMIC
607,404438083986116,3576889531418901,9655925210,"",2402:3a80:58:db97:0:c:e5dd:8201,50079,2a03:1b20:a:f011::e02e,61371,"","",404435459585504231,01/06/2026 14:10:06,01/06/2026 14:10:06,0,499,163,203.88.28.129,80374856,www,"",2402:3a80:58:db97:0:c:e5dd:8201,404435459585504231,4G,IPV6,N,DYNAMIC
1906,405752728020475,8607010504091601,7520546791,"",2402:8100:2642:76ef:0278:5634:1232:5476,43457,2a03:1b20:a:f011::::e005,51413,"","",4057015144468122,01/06/2026 14:34:56,01/06/2026 14:40:45,1800,11541859,123524528,112.110.108.163,539850517,www,10.64.141.207,2402:8100:2642:76ef:0278:5634:1232:5476,4057015144468122,4G,IPv4v6,N,DYNAMIC
4556,404071744391707,8689420600216157,9640581656,"",2402:8100:2957:2791:1424:11f7:b4d4:1847,37000,2a03:1b20:a:f011::::e601,55601,"","",40407240084122043,01/06/2026 15:23:19,01/06/2026 15:24:21,173,1028581,107954729,112.110.100.31,1798695118,internet,10.143.39.40,2402:8100:2957:2791:0000:0000:04d9:f003,40407240084122043,4G,IPv4v6,N,DYNAMIC
6192,404860424162475,8660520550089265,8310114419,"",2402:3a80:02b7:af38:c311:92df:758e:486e,37000,2a03:1b20:a:f011::::e401,8388,"","",404861504380984433,01/06/2026 15:52:31,01/06/2026 16:13:29,1800,2749192,3450400,203.88.3.222,1615103072,www,10.125.161.40,2402:3a80:02b7:af38:0000:0000:0afc:d910,404861504380984433,4G,IPv4v6,N,DYNAMIC
6504,404438080873767,3540904444941637,9445956476,"",2402:3a80:424d:7988:0:7:d03b:a201,6881,2a03:1b20:a:f011::e009,7296,"","",404845414547220313,01/06/2026 15:58:30,01/06/2026 15:58:30,0,0,163,203.88.1.90,49106628,iphone,"",2402:3a80:424d:7988:0:7:d03b:a201,404845414547220313,4G,IPV6,N,DYNAMIC
2669,404051833684147,8632650591099215,9998144054,"",2402:3a80:16e9:7b73:0:4f:cb72:d501,37224,2a03:1b20:a:f011::e02e,61371,"","",40405511364714142,01/06/2026 14:48:45,01/06/2026 14:48:45,0,478,163,112.110.84.15,788115730,www,"",2402:3a80:16e9:7b73:0:4f:cb72:d501,40405511364714142,4G,IPV6,N,DYNAMIC
6332,404051850534800,8672710583759501,9429928606,"",2402:3a80:4400:92d1:0:18:ca9e:1b01,48552,2a03:1b20:a:f011::e302,6635,"","",40405512854572051,01/06/2026 15:55:24,01/06/2026 15:55:24,0,138,209,203.88.19.32,156326307,www,"",2402:3a80:4400:92d1:0:18:ca9e:1b01,40405512854572051,4G,IPV6,N,DYNAMIC
2213,404438057253422,8666580769720541,7339381823,"",2402:3a80:10:4d13:0:48:7038:e401,50800,2a03:1b20:a:f011::e005,57044,"","",404435451085593522,01/06/2026 14:40:35,01/06/2026 14:40:38,3,0,1064,203.88.28.128,551447146,www,"",2402:3a80:10:4d13:0:48:7038:e401,404435451085593522,4G,IPV6,N,DYNAMIC
1354,404242402601064,3579172754166001,7046100593,"",2402:3a80:16a7:5fa8:0:3a:3c8b:3d01,56788,2a03:1b20:a:f011::e015,8107,"","",404055992271747011,01/06/2026 14:24:43,01/06/2026 14:24:43,0,152,0,112.110.84.5,365058954,internet,"",2402:3a80:16a7:5fa8:0:3a:3c8b:3d01,404055992271747011,4G,IPV6,N,DYNAMIC
6286,404051835456333,8672500571949301,9099828825,"",2402:3a80:4841:bfa5::512c:6e01,6881,2a03:1b20:a:f011::e302,6635,"","",404052508040032633,01/06/2026 15:54:33,01/06/2026 15:54:33,0,152,467,203.88.14.216,2128139,www,"",2402:3a80:4841:bfa5::512c:6e01,404052508040032633,4G,IPV6,N,DYNAMIC
1580,404205065428181,8619680538984435,9768888148,"",2402:3a80:4162:555f:0:a:cca3:4501,47646,2a03:1b20:a:f011::e324,49656,"","",404205231143190031,01/06/2026 14:29:29,01/06/2026 14:29:29,0,152,0,203.88.30.32,67858916,www,"",2402:3a80:4162:555f:0:a:cca3:4501,404205231143190031,4G,IPV6,N,DYNAMIC
